lamda=855.000000 nm
m,l,p,tau,beta,ne,confinement,R_infinite,eig,0.000000,0.100000,0.200000,0.300000,0.400000,0.500000,0.600000,0.700000,0.800000,0.900000,1.000000,1.100000,1.200000,1.300000,1.400000,1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,4.700000,4.800000,4.900000,5.000000,
0, 1, 1, 5010.697594, 10982850.427639, 1.494519, 0.998760, 0.000000, 0.000007,6744982.122679,6732218.166134,6702703.120064,6654866.022763,6588868.351919,6505181.558165,6404463.971130,6287524.605891,6155302.968503,6008852.544972,5849324.922879,5677953.713008,5496038.120563,5304926.263377,5105998.433192,4900650.534427,4690277.944474,4476260.033353,4259945.564383,4042639.174679,3825589.106554,3609976.330039,3396905.163747,3187395.467416,2982376.445632,2782682.069309,2589048.090345,2402110.596109,2222406.024663,2050372.539280,1886352.642257,1730596.893405,1583268.588012,1444449.242446,1314144.732841,1192291.933098,1078765.702594,973386.081023,875925.557322,786116.291265,703657.179454,628220.671838,559459.259908,497011.573145,440508.035612,389576.049590,343844.687571,302948.887481,266533.158747,234254.818451,205786.787606,
0, 2, 3, 5006.416450, 10932494.798990, 1.487666, 0.893139, 0.000000, 0.000007,-6407109.673301,-6371503.716797,-6289027.124880,-6155955.362412,-5973446.406713,-5743779.593285,-5469982.563686,-5155696.721239,-4805082.349455,-4422729.851581,-4013569.760694,-3582780.473831,-3135694.606475,-2677705.545210,-2214175.999840,-1750350.373511,-1291272.673067,-841711.512974,-406093.547081,11553.591538,407648.038995,779089.621706,1123284.724308,1438160.160264,1722166.366788,1974270.488068,2193940.123837,2381118.699362,2536193.554759,2659957.954366,2753568.280265,2818497.698972,2856487.578755,2869497.890289,2859657.749253,2829217.160691,2780500.906521,2715865.384735,2637659.066819,2548187.093874,2449680.386655,2344269.504439,2233963.356302,2120632.748900,2005998.649958,1891624.958021,1778915.497899,1669114.908179,1563313.052289,1462452.567459,1367339.165843,
1, 1, 2, 5010.249098, 10957153.704180, 1.491022, 0.988426, 0.000000, 0.000000,0.000000,356588.482774,709796.418533,1056898.715064,1395057.110083,1721536.088830,2033753.458697,2329318.888461,2606066.215355,2862080.539709,3095720.180922,3305633.375155,3490769.604917,3650385.527415,3784045.568637,3891617.356023,3973262.265742,4029421.455631,4060797.838469,4068334.519888,4053190.279374,4016712.710319,3960409.655837,3885919.581060,3794981.510722,3689405.134211,3571041.640394,3441755.793372,3303399.699977,3157788.652461,3006679.357873,2851750.791255,2694587.835277,2536667.796282,2379349.817760,2223867.148600,2071322.166385,1922684.006434,1778788.606052,1640340.940815,1507919.205820,1381980.679611,1262869.001426,1150822.593050,1045983.964189,948409.653973,858080.580273,774912.591875,698767.045492,629461.259213,566778.725605,
2, 1, 3, 5008.131393, 10931953.017827, 1.487593, 0.935665, 0.000000, 0.000001,0.000000,10174.376419,49245.551696,112877.692377,200318.488453,310140.706911,440530.427687,589346.191791,754166.588799,932340.068766,1121038.011222,1317310.232700,1518141.714242,1720509.238632,1921436.638479,2118047.421963,2307613.647216,2487600.050780,2655702.593917,2809880.766560,2948383.176116,3069766.140815,3172905.198706,3256999.627921,3321570.246120,3366450.912551,3391774.290987,3397952.543236,3385653.708756,3355774.585463,3309410.959773,3247826.041359,3172417.941442,3084686.995172,2986203.671450,2878577.740808,2763429.287064,2642362.055114,2516939.528976,2388664.034469,2258959.062971,2129154.919362,2000477.710969,1874041.617224,1750844.313199,1631765.365545,1517567.377032,1408899.626401,1306303.933291,1210222.473398,1121007.276092,
lamda=854.990000 nm
m,l,p,tau,beta,ne,confinement,R_infinite,eig,0.000000,0.100000,0.200000,0.300000,0.400000,0.500000,0.600000,0.700000,0.800000,0.900000,1.000000,1.100000,1.200000,1.300000,1.400000,1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,4.700000,4.800000,4.900000,5.000000,
0, 1, 1, 5010.702120, 10982980.098060, 1.494519, 0.998760, 0.000000, 0.000008,6744971.472931,6732202.460950,6702693.124324,6654860.660085,6588866.893986,6505183.392212,6404468.540965,6287531.392698,6155311.484649,6008862.332863,5849335.555917,5677964.797331,5496049.296937,5304937.208890,5106008.862556,4900660.200792,4690286.639695,4476267.587693,4259951.845673,4042644.086955,3825592.588226,3609978.351642,3396905.725345,3187394.595723,2982374.190928,2782678.502223,2589043.298569,2402104.681127,2222399.098538,2050364.721568,1886344.057093,1730587.666802,1583258.845404,1444439.106508,1314134.321586,1192281.358278,1078755.068387,973375.483018,875915.081780,786106.014638,703647.168151,628210.982204,559449.938398,497002.656663,440499.551986,389568.018161,343837.119866,302941.787948,266526.525525,234248.644169,205781.060174,
0, 2, 3, 5006.421298, 10932626.696144, 1.487667, 0.893163, 0.000000, 0.000001,-6407485.582625,-6371920.763545,-6289382.674794,-6156253.548440,-5973688.765400,-5743967.256804,-5470116.839789,-5155779.294383,-4805115.349586,-4422715.863484,-4013511.801461,-3582681.951011,-3135559.263714,-2677537.399674,-2213979.274546,-1750129.427060,-1291031.928874,-841455.389836,-405826.392690,11827.562750,407924.802495,779365.393036,1123556.002045,1438423.761267,1722419.453422,1974510.587338,2194165.138541,2381326.911565,2536383.622055,2660128.899520,2753719.474956,2818628.842424,2856598.672124,2869589.207672,2859729.806225,2829270.681222,2780536.789118,2715884.668566,2637662.898511,2548176.695612,2449657.026073,2344234.466743,2233917.918927,2120578.158931,2005936.104435,1891555.587174,1778840.351257,1669034.943463,1563229.126894,1462365.432319,1367249.461409,
1, 1, 2, 5010.253603, 10957283.051932, 1.491022, 0.988427, 0.000000, 0.000003,0.000000,356588.650468,709794.617931,1056896.898685,1395055.750503,1721535.579025,2033754.110391,2329320.932299,2606069.802803,2862085.746551,3095727.012194,3305641.771318,3490779.449074,3650396.653333,3784057.769330,3891630.392666,3973275.876675,4029435.365227,4060811.765652,4068348.186124,4053203.415963,4016725.064867,3960420.997799,3885929.706286,3794990.244977,3689412.335651,3571047.201026,3441759.639549,3303401.791993,3157788.983332,3006677.951419,2851747.699579,2694583.135777,2536661.588306,2379342.219025,2223858.291496,2071312.194258,1922673.069957,1778776.859765,1640328.539894,1507906.303152,1381967.423204,1262855.532186,1150809.042953,1045970.454836,948396.295543,858067.470843,774899.817098,698754.678603,629449.361338,566767.346332,
