r [um],n,q,q2
3.600000, 1.491585, 0.481600, 2.230907
3.700000, 1.491221, 0.452400, 2.229811
3.800000, 1.490847, 0.422400, 2.228685
3.900000, 1.490464, 0.391600, 2.227529
4.000000, 1.490070, 0.360000, 2.226343
4.100000, 1.489666, 0.327600, 2.225127
4.200000, 1.489252, 0.294400, 2.223881
4.300000, 1.488828, 0.260400, 2.222605
4.400000, 1.488394, 0.225600, 2.221299
4.500000, 1.487949, 0.190000, 2.219962
4.600000, 1.487495, 0.153600, 2.218596
4.700000, 1.487030, 0.116400, 2.217200
4.800000, 1.486556, 0.078400, 2.215774
4.900000, 1.486071, 0.039600, 2.214317
5.000000, 1.485576, 0.000000, 2.212831
0.000000, 1.498026, 1.000000, 2.250376
0.100000, 1.498021, 0.999600, 2.250361
0.200000, 1.498007, 0.998400, 2.250316
0.300000, 1.497982, 0.996400, 2.250241
0.400000, 1.497947, 0.993600, 2.250136
0.500000, 1.497902, 0.990000, 2.250001
0.600000, 1.497848, 0.985600, 2.249836
0.700000, 1.497783, 0.980400, 2.249641
0.800000, 1.497709, 0.974400, 2.249415
0.900000, 1.497625, 0.967600, 2.249160
1.000000, 1.497530, 0.960000, 2.248875
1.100000, 1.497426, 0.951600, 2.248559
1.200000, 1.497312, 0.942400, 2.248214
1.300000, 1.497188, 0.932400, 2.247839
1.400000, 1.497054, 0.921600, 2.247433
1.500000, 1.496910, 0.910000, 2.246998
1.600000, 1.496756, 0.897600, 2.246533
1.700000, 1.496593, 0.884400, 2.246037
1.800000, 1.496419, 0.870400, 2.245512
1.900000, 1.496235, 0.855600, 2.244956
2.000000, 1.496041, 0.840000, 2.244370
2.100000, 1.495838, 0.823600, 2.243755
2.200000, 1.495624, 0.806400, 2.243109
2.300000, 1.495401, 0.788400, 2.242434
2.400000, 1.495167, 0.769600, 2.241728
2.500000, 1.494924, 0.750000, 2.240992
2.600000, 1.494670, 0.729600, 2.240226
2.700000, 1.494407, 0.708400, 2.239431
2.800000, 1.494133, 0.686400, 2.238605
2.900000, 1.493850, 0.663600, 2.237749
3.000000, 1.493556, 0.640000, 2.236863
3.100000, 1.493253, 0.615600, 2.235947
3.200000, 1.492940, 0.590400, 2.235001
3.300000, 1.492616, 0.564400, 2.234025
3.400000, 1.492283, 0.537600, 2.233020
3.500000, 1.491939, 0.510000, 2.231984
3.600000, 1.491585, 0.481600, 2.230918
3.700000, 1.491222, 0.452400, 2.229822
3.800000, 1.490848, 0.422400, 2.228695
3.900000, 1.490464, 0.391600, 2.227539
4.000000, 1.490071, 0.360000, 2.226353
4.100000, 1.489667, 0.327600, 2.225137
4.200000, 1.489253, 0.294400, 2.223891
4.300000, 1.488829, 0.260400, 2.222615
4.400000, 1.488394, 0.225600, 2.221309
4.500000, 1.487950, 0.190000, 2.219972
4.600000, 1.487496, 0.153600, 2.218606
4.700000, 1.487031, 0.116400, 2.217210
4.800000, 1.486557, 0.078400, 2.215783
4.900000, 1.486072, 0.039600, 2.214327
5.000000, 1.485577, 0.000000, 2.212841
0.000000, 1.498027, 1.000000, 2.250388
0.100000, 1.498022, 0.999600, 2.250373
0.200000, 1.498007, 0.998400, 2.250328
0.300000, 1.497983, 0.996400, 2.250253
0.400000, 1.497948, 0.993600, 2.250148
0.500000, 1.497903, 0.990000, 2.250012
0.600000, 1.497849, 0.985600, 2.249847
0.700000, 1.497784, 0.980400, 2.249652
0.800000, 1.497710, 0.974400, 2.249427
0.900000, 1.497625, 0.967600, 2.249172
1.000000, 1.497531, 0.960000, 2.248886
1.100000, 1.497427, 0.951600, 2.248571
1.200000, 1.497313, 0.942400, 2.248226
1.300000, 1.497189, 0.932400, 2.247850
1.400000, 1.497055, 0.921600, 2.247445
1.500000, 1.496911, 0.910000, 2.247009
1.600000, 1.496757, 0.897600, 2.246544
1.700000, 1.496593, 0.884400, 2.246048
1.800000, 1.496420, 0.870400, 2.245523
1.900000, 1.496236, 0.855600, 2.244967
2.000000, 1.496042, 0.840000, 2.244382
2.100000, 1.495839, 0.823600, 2.243766
2.200000, 1.495625, 0.806400, 2.243120
2.300000, 1.495402, 0.788400, 2.242445
2.400000, 1.495168, 0.769600, 2.241739
2.500000, 1.494925, 0.750000, 2.241003
2.600000, 1.494671, 0.729600, 2.240237
2.700000, 1.494408, 0.708400, 2.239442
2.800000, 1.494134, 0.686400, 2.238616
2.900000, 1.493851, 0.663600, 2.237760
3.000000, 1.493557, 0.640000, 2.236874
3.100000, 1.493254, 0.615600, 2.235958
3.200000, 1.492940, 0.590400, 2.235012
3.300000, 1.492617, 0.564400, 2.234036
3.400000, 1.492283, 0.537600, 2.233030
3.500000, 1.491940, 0.510000, 2.231994
3.600000, 1.491586, 0.481600, 2.230928
3.700000, 1.491223, 0.452400, 2.229832
3.800000, 1.490849, 0.422400, 2.228706
3.900000, 1.490465, 0.391600, 2.227550
4.000000, 1.490071, 0.360000, 2.226363
4.100000, 1.489668, 0.327600, 2.225147
4.200000, 1.489254, 0.294400, 2.223901
4.300000, 1.488829, 0.260400, 2.222625
4.400000, 1.488395, 0.225600, 2.221319
4.500000, 1.487951, 0.190000, 2.219982
4.600000, 1.487497, 0.153600, 2.218616
4.700000, 1.487032, 0.116400, 2.217220
4.800000, 1.486557, 0.078400, 2.215793
4.900000, 1.486073, 0.039600, 2.214337
5.000000, 1.485578, 0.000000, 2.212850
0.000000, 1.498028, 1.000000, 2.250399
0.100000, 1.498023, 0.999600, 2.250384
0.200000, 1.498008, 0.998400, 2.250339
0.300000, 1.497983, 0.996400, 2.250264
0.400000, 1.497949, 0.993600, 2.250159
0.500000, 1.497904, 0.990000, 2.250024
0.600000, 1.497850, 0.985600, 2.249859
0.700000, 1.497785, 0.980400, 2.249663
0.800000, 1.497711, 0.974400, 2.249438
0.900000, 1.497626, 0.967600, 2.249183
1.000000, 1.497532, 0.960000, 2.248898
1.100000, 1.497428, 0.951600, 2.248582
1.200000, 1.497314, 0.942400, 2.248237
1.300000, 1.497190, 0.932400, 2.247862
1.400000, 1.497056, 0.921600, 2.247456
1.500000, 1.496912, 0.910000, 2.247021
1.600000, 1.496758, 0.897600, 2.246555
1.700000, 1.496594, 0.884400, 2.246060
1.800000, 1.496420, 0.870400, 2.245534
1.900000, 1.496237, 0.855600, 2.244978
2.000000, 1.496043, 0.840000, 2.244393
2.100000, 1.495839, 0.823600, 2.243777
2.200000, 1.495626, 0.806400, 2.243131
2.300000, 1.495402, 0.788400, 2.242456
2.400000, 1.495169, 0.769600, 2.241750
2.500000, 1.494925, 0.750000, 2.241014
2.600000, 1.494672, 0.729600, 2.240248
2.700000, 1.494408, 0.708400, 2.239453
2.800000, 1.494135, 0.686400, 2.238627
2.900000, 1.493852, 0.663600, 2.237771
3.000000, 1.493558, 0.640000, 2.236885
